,title,price,link
10,"Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Laptop (Windows 11 Home/8GB RAM/512GB SSD/Intel Iris Xe Graphics) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ","38,990",https://amazon.in//Acer-i5-1235U-Windows-Graphics-AL15-52/dp/B0CLTVYC1Q/ref=sr_1_35?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-35
11,"ASUS Vivobook Go 15, Intel Celeron N4500, 15.6""(39.62cm) FHD 16:9 60 Hz, Thin & Light Laptop (8GB RAM/512 SSD/Intel HD Graphics/Win 11/Office 2021/Fingerprint Sensor/Star Black/1.57 Kg),E510KA-EJ011WS  ","24,990",https://amazon.in//ASUS-Vivobook-Intel-Celeron-39-62cm/dp/B0D81DRTXQ/ref=sr_1_36?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-36
12,"Dell Inspiron 3530 Thin & Light Laptop, 13th Gen Intel Core i3-1305U/8GB/512GB SSD/15.6"" (39.62cm) 120Hz Refresh Rate on a FHD IPS Display/Windows 11 + MSO'21+McAfee 15 Month/Carbon Black/1.62kg  ","38,990",https://amazon.in//Dell-Inspiron-3530-i3-1305U-Comfortview/dp/B0C4ZM63RP/ref=sr_1_19?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-19
13,"Lenovo Yoga Slim 7 Intel Core Ultra 7 155H Built-in AI 14""(35.5cm) WUXGA-OLED 400Nits Laptop (32GB/1TB SSD/100% DCI-P3/FHD+IR Camera/Win11/MSO 21/1Yr ADP Free/3Mon. Game Pass/Grey/1.39Kg), 83CV002DIN  ","1,05,799",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MzAzNTMxOTkyNjkzMjAyOjE3MjE1NzAxNzE6c3BfYnRmOjMwMDI0MDY1NTg1MTgzMjo6MDo6&url=%2FLenovo-Built-WUXGA-OLED-400Nits-83CV002DIN%2Fdp%2FB0CTMQDLQX%2Fref%3Dsr_1_37_sspa%3Fcrid%3DLXE7BB7APIB9%26dib%3DeyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721570171%26sprefix%3Dlaptop%252Caps%252C1337%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
14,"Lenovo IdeaPad Slim 5 Intel Core Ultra 5 125H Built-in AI 14"" (35.5cm) WUXGA-OLED 400Nits Thin & Light Laptop (16GB/1TB SSD/Win 11/MSO 21/FHD+IR Cam/1Yr ADP Free/3Mon Game Pass/Grey/1.4Kg), 83DA0049IN  ","79,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MzAzNTMxOTkyNjkzMjAyOjE3MjE1NzAxNzE6c3BfYnRmOjMwMDI0MDY1NTg1MTczMjo6MDo6&url=%2FLenovo-IdeaPad-WUXGA-OLED-400Nits-83DA0049IN%2Fdp%2FB0CSPG1TJZ%2Fref%3Dsr_1_38_sspa%3Fcrid%3DLXE7BB7APIB9%26dib%3DeyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721570171%26sprefix%3Dlaptop%252Caps%252C1337%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
15,"HP Laptop 15,12th Gen Intel Core i3-1215U,15.6 inch(39.6 cm),FHD,Anti-Glare,8 GB DDR4,512 GB SSD,Windows 11,MSO,Dual Speakers,1.69 kg,Natural Silver,15s-fq5326TU  ","34,990",https://amazon.in//HP-i3-1215U-Anti-Glare-Speakers-15s-fq5326TU/dp/B0CYQ257C1/ref=sr_1_20?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-20
16,"Dell 15 Thin & Light Laptop, 12th Gen Intel Core i5-1235U Processor, 8GB, 512GB SSD, 15.6"" (39.62cm) FHD Display, Windows 11 + MSO'21, 15 Month McAfee Antivirus, Black, Spill-Resistant Keyboard,1.66kg  ","44,990",https://amazon.in//Dell-i5-1235U-Processor-Antivirus-Spill-Resistant/dp/B0CSG4G18G/ref=sr_1_21?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-21
17,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN  ","36,990",https://amazon.in//Lenovo-IdeaPad-Laptop-Windows-82R400ERIN/dp/B0CP2KRYLM/ref=sr_1_22?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-22
18,"ASUS VivoBook 15 (2021) Thin and Light Laptop, Dual Core Intel Celeron N4020, 15.6-inch (39.62 cm) HD, (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W  ","19,990",https://amazon.in//ASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W/dp/B09SGGB687/ref=sr_1_23?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-23
19,"Apple MacBook Air Laptop M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey  ","66,990",https://amazon.in//Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_24?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-24
20,"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4/512GB SSD/Intel UHD Graphics/15.6"" (39.62cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill-Resistant KB/1.69kg  ","48,990",https://amazon.in//Dell-Vostro-Metal-i5-1235U-35-56Cms/dp/B0BQJ7WR2R/ref=sr_1_25?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-25
21,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black  ","18,290",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR496TBN/ref=sr_1_26?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-26
